datetime_utc,open,high,low,close,volume,asset,symbol_requested,symbol_used,provider
2017-08-01T00:00:00Z,1268.4000244140625,1273.300048828125,1262.0,1272.5999755859375,1061,gold,GC=F,GC=F,yfinance
2017-08-02T00:00:00Z,1268.5,1272.0999755859375,1262.9000244140625,1271.800048828125,393,gold,GC=F,GC=F,yfinance
2017-08-03T00:00:00Z,1265.9000244140625,1269.800048828125,1256.5999755859375,1267.800048828125,878,gold,GC=F,GC=F,yfinance
2017-08-04T00:00:00Z,1269.0,1269.5999755859375,1253.9000244140625,1258.300048828125,521,gold,GC=F,GC=F,yfinance
2017-08-07T00:00:00Z,1258.699951171875,1259.0999755859375,1255.300048828125,1258.199951171875,260,gold,GC=F,GC=F,yfinance
2017-08-08T00:00:00Z,1256.9000244140625,1264.0999755859375,1251.4000244140625,1256.4000244140625,555,gold,GC=F,GC=F,yfinance
2017-08-09T00:00:00Z,1260.199951171875,1277.800048828125,1260.199951171875,1273.0,574,gold,GC=F,GC=F,yfinance
2017-08-10T00:00:00Z,1276.5999755859375,1287.4000244140625,1274.9000244140625,1283.699951171875,608,gold,GC=F,GC=F,yfinance
2017-08-11T00:00:00Z,1286.300048828125,1291.0999755859375,1282.0,1287.699951171875,139,gold,GC=F,GC=F,yfinance
2017-08-14T00:00:00Z,1288.4000244140625,1288.4000244140625,1278.800048828125,1284.199951171875,338,gold,GC=F,GC=F,yfinance
2017-08-15T00:00:00Z,1280.5,1280.5,1267.4000244140625,1273.699951171875,188,gold,GC=F,GC=F,yfinance
2017-08-16T00:00:00Z,1271.300048828125,1282.5999755859375,1269.4000244140625,1276.9000244140625,110,gold,GC=F,GC=F,yfinance
2017-08-17T00:00:00Z,1283.800048828125,1288.5,1283.199951171875,1286.4000244140625,43,gold,GC=F,GC=F,yfinance
2017-08-18T00:00:00Z,1288.5999755859375,1300.699951171875,1284.300048828125,1285.699951171875,358,gold,GC=F,GC=F,yfinance
2017-08-21T00:00:00Z,1285.199951171875,1290.800048828125,1284.699951171875,1290.800048828125,18,gold,GC=F,GC=F,yfinance
2017-08-22T00:00:00Z,1287.199951171875,1288.4000244140625,1283.199951171875,1285.0999755859375,100,gold,GC=F,GC=F,yfinance
2017-08-23T00:00:00Z,1289.4000244140625,1289.4000244140625,1286.9000244140625,1288.9000244140625,250,gold,GC=F,GC=F,yfinance
2017-08-24T00:00:00Z,1288.699951171875,1288.699951171875,1284.0,1286.5,550,gold,GC=F,GC=F,yfinance
