datetime_utc,open,high,low,close,volume,asset,symbol_requested,symbol_used,provider
2017-08-01T00:00:00Z,247.4600067138672,247.5,246.72000122070312,247.32000732421875,55050400,spy,SPY,SPY,yfinance
2017-08-02T00:00:00Z,247.47000122070312,247.60000610351562,246.3699951171875,247.44000244140625,47211200,spy,SPY,SPY,yfinance
2017-08-03T00:00:00Z,247.30999755859375,247.33999633789062,246.63999938964844,246.9600067138672,40856000,spy,SPY,SPY,yfinance
2017-08-04T00:00:00Z,247.52000427246094,247.7899932861328,246.97000122070312,247.41000366210938,60191800,spy,SPY,SPY,yfinance
2017-08-07T00:00:00Z,247.49000549316406,247.8699951171875,247.3699951171875,247.8699951171875,31995000,spy,SPY,SPY,yfinance
2017-08-08T00:00:00Z,247.50999450683594,248.91000366210938,246.8300018310547,247.25999450683594,61719400,spy,SPY,SPY,yfinance
2017-08-09T00:00:00Z,246.47000122070312,247.30999755859375,246.05999755859375,247.25,62632600,spy,SPY,SPY,yfinance
2017-08-10T00:00:00Z,246.2899932861328,246.44000244140625,243.6999969482422,243.75999450683594,120479500,spy,SPY,SPY,yfinance
2017-08-11T00:00:00Z,244.02000427246094,244.8000030517578,243.75,244.1199951171875,74869900,spy,SPY,SPY,yfinance
2017-08-14T00:00:00Z,245.58999633789062,246.7899932861328,245.5500030517578,246.5399932861328,73291900,spy,SPY,SPY,yfinance
2017-08-15T00:00:00Z,246.97999572753906,247.0,246.16000366210938,246.50999450683594,55242700,spy,SPY,SPY,yfinance
2017-08-16T00:00:00Z,247.11000061035156,247.57000732421875,246.4499969482422,246.94000244140625,56715500,spy,SPY,SPY,yfinance
2017-08-17T00:00:00Z,246.24000549316406,246.60000610351562,243.08999633789062,243.08999633789062,128490400,spy,SPY,SPY,yfinance
2017-08-18T00:00:00Z,242.89999389648438,244.19000244140625,242.1999969482422,242.7100067138672,136748000,spy,SPY,SPY,yfinance
2017-08-21T00:00:00Z,242.63999938964844,243.1999969482422,241.8300018310547,242.89999389648438,65469700,spy,SPY,SPY,yfinance
2017-08-22T00:00:00Z,243.57000732421875,245.6199951171875,243.5500030517578,245.44000244140625,63140100,spy,SPY,SPY,yfinance
2017-08-23T00:00:00Z,244.3300018310547,245.0500030517578,244.16000366210938,244.55999755859375,50203800,spy,SPY,SPY,yfinance
2017-08-24T00:00:00Z,245.0,245.17999267578125,243.75,243.99000549316406,50741700,spy,SPY,SPY,yfinance
2017-08-25T00:00:00Z,244.89999389648438,245.61000061035156,244.38999938964844,244.55999755859375,64445900,spy,SPY,SPY,yfinance
2017-08-28T00:00:00Z,245.1699981689453,245.1999969482422,244.08999633789062,244.57000732421875,40565600,spy,SPY,SPY,yfinance
2017-08-29T00:00:00Z,243.05999755859375,245.14999389648438,242.92999267578125,244.85000610351562,51135700,spy,SPY,SPY,yfinance
2017-08-30T00:00:00Z,244.8300018310547,246.32000732421875,244.6199951171875,246.00999450683594,62030800,spy,SPY,SPY,yfinance
2017-08-31T00:00:00Z,246.72000122070312,247.77000427246094,246.0500030517578,247.49000549316406,103803900,spy,SPY,SPY,yfinance
2017-09-01T00:00:00Z,247.9199981689453,248.3300018310547,247.6699981689453,247.83999633789062,62007000,spy,SPY,SPY,yfinance
2017-09-05T00:00:00Z,247.25999450683594,247.52000427246094,244.9499969482422,246.05999755859375,91398800,spy,SPY,SPY,yfinance
2017-09-06T00:00:00Z,246.83999633789062,247.27999877929688,246.22999572753906,246.89999389648438,57916900,spy,SPY,SPY,yfinance
2017-09-07T00:00:00Z,247.25,247.27000427246094,246.39999389648438,246.8699951171875,58034700,spy,SPY,SPY,yfinance
2017-09-08T00:00:00Z,246.5399932861328,247.11000061035156,246.3000030517578,246.5800018310547,63832800,spy,SPY,SPY,yfinance
2017-09-11T00:00:00Z,248.0399932861328,249.3000030517578,248.02000427246094,249.2100067138672,71364800,spy,SPY,SPY,yfinance
2017-09-12T00:00:00Z,249.6300048828125,250.08999633789062,249.4199981689453,250.0500030517578,56896000,spy,SPY,SPY,yfinance
2017-09-13T00:00:00Z,249.72000122070312,250.2100067138672,249.58999633789062,250.1699981689453,59228000,spy,SPY,SPY,yfinance
2017-09-14T00:00:00Z,249.8000030517578,250.32000732421875,249.60000610351562,250.08999633789062,95446300,spy,SPY,SPY,yfinance
2017-09-15T00:00:00Z,248.69000244140625,249.2899932861328,248.57000732421875,249.19000244140625,95432400,spy,SPY,SPY,yfinance
2017-09-18T00:00:00Z,249.61000061035156,250.1199951171875,249.27999877929688,249.72000122070312,46235200,spy,SPY,SPY,yfinance
2017-09-19T00:00:00Z,250.0,250.07000732421875,249.60000610351562,249.97000122070312,47108100,spy,SPY,SPY,yfinance
2017-09-20T00:00:00Z,250.07000732421875,250.19000244140625,248.9199981689453,250.05999755859375,59574100,spy,SPY,SPY,yfinance
2017-09-21T00:00:00Z,249.8800048828125,249.97999572753906,249.19000244140625,249.38999938964844,48211400,spy,SPY,SPY,yfinance
2017-09-22T00:00:00Z,249.0500030517578,249.6300048828125,249.02000427246094,249.44000244140625,51214000,spy,SPY,SPY,yfinance
2017-09-25T00:00:00Z,249.14999389648438,249.5500030517578,248.0800018310547,248.92999267578125,57064400,spy,SPY,SPY,yfinance
2017-09-26T00:00:00Z,249.4199981689453,249.6999969482422,248.80999755859375,249.0800018310547,54082000,spy,SPY,SPY,yfinance
2017-09-27T00:00:00Z,249.8800048828125,250.49000549316406,248.8699951171875,250.0500030517578,81001400,spy,SPY,SPY,yfinance
2017-09-28T00:00:00Z,249.72999572753906,250.44000244140625,249.6300048828125,250.35000610351562,44778800,spy,SPY,SPY,yfinance
2017-09-29T00:00:00Z,250.33999633789062,251.32000732421875,250.1300048828125,251.22999572753906,85578000,spy,SPY,SPY,yfinance
2017-10-02T00:00:00Z,251.49000549316406,252.32000732421875,251.2899932861328,252.32000732421875,59023000,spy,SPY,SPY,yfinance
2017-10-03T00:00:00Z,252.32000732421875,252.88999938964844,252.22999572753906,252.86000061035156,66810200,spy,SPY,SPY,yfinance
2017-10-04T00:00:00Z,252.69000244140625,253.44000244140625,252.55999755859375,253.16000366210938,55953600,spy,SPY,SPY,yfinance
2017-10-05T00:00:00Z,253.5399932861328,254.67999267578125,253.1999969482422,254.66000366210938,63522800,spy,SPY,SPY,yfinance
2017-10-06T00:00:00Z,254.14999389648438,254.6999969482422,253.85000610351562,254.3699951171875,80646000,spy,SPY,SPY,yfinance
2017-10-09T00:00:00Z,254.6300048828125,254.6999969482422,253.64999389648438,253.9499969482422,35803100,spy,SPY,SPY,yfinance
2017-10-10T00:00:00Z,254.60000610351562,255.0500030517578,253.97999572753906,254.6199951171875,43057400,spy,SPY,SPY,yfinance
2017-10-11T00:00:00Z,254.50999450683594,255.02000427246094,254.32000732421875,255.02000427246094,47674300,spy,SPY,SPY,yfinance
2017-10-12T00:00:00Z,254.66000366210938,255.05999755859375,254.3699951171875,254.63999938964844,47065100,spy,SPY,SPY,yfinance
2017-10-13T00:00:00Z,255.13999938964844,255.27000427246094,254.63999938964844,254.9499969482422,54800400,spy,SPY,SPY,yfinance
2017-10-16T00:00:00Z,255.2100067138672,255.50999450683594,254.82000732421875,255.2899932861328,38221700,spy,SPY,SPY,yfinance
2017-10-17T00:00:00Z,255.22999572753906,255.52000427246094,254.97999572753906,255.47000122070312,31561000,spy,SPY,SPY,yfinance
2017-10-18T00:00:00Z,255.89999389648438,255.9499969482422,255.5,255.72000122070312,40888300,spy,SPY,SPY,yfinance
2017-10-19T00:00:00Z,254.8300018310547,255.8300018310547,254.35000610351562,255.7899932861328,61903800,spy,SPY,SPY,yfinance
2017-10-20T00:00:00Z,256.70001220703125,257.1400146484375,255.77000427246094,257.1099853515625,89176400,spy,SPY,SPY,yfinance
2017-10-23T00:00:00Z,257.4800109863281,257.510009765625,256.0199890136719,256.1099853515625,63915300,spy,SPY,SPY,yfinance
2017-10-24T00:00:00Z,256.6000061035156,256.8299865722656,256.1499938964844,256.55999755859375,66935900,spy,SPY,SPY,yfinance
2017-10-25T00:00:00Z,256.17999267578125,256.30999755859375,254.0,255.2899932861328,103715300,spy,SPY,SPY,yfinance
2017-10-26T00:00:00Z,255.99000549316406,256.29998779296875,255.47999572753906,255.6199951171875,69798000,spy,SPY,SPY,yfinance
2017-10-27T00:00:00Z,256.4700012207031,257.8900146484375,255.6300048828125,257.7099914550781,85562500,spy,SPY,SPY,yfinance
